Month,Price,Change
2/1/20,19961.31,-
3/1/20,20527.62,0.0284
4/1/20,21485.36,0.0467
5/1/20,19898.55,-0.0739
6/1/20,20668.47,0.0387
7/1/20,22888.04,0.1074
8/1/20,25528.84,0.1154
9/1/20,26340.52,0.0318
10/1/20,26237.96,-0.0039
11/1/20,26708.91,0.0179
12/1/20,28616.07,0.0714
1/1/21,30800.19,0.0763
2/1/21,38484.31,0.2495
3/1/21,38880.82,0.0103
4/1/21,40438.99,0.0401
5/1/21,42153.82,0.0424
6/1/21,44484.36,0.0553
7/1/21,45681.36,0.0269
8/1/21,44739.75,-0.0206
9/1/21,47389.67,0.0592
10/1/21,50402.53,0.0636
11/1/21,54126.1,0.0739
12/1/21,56276.76,0.0397
1/1/22,52067.68,-0.0748
2/1/22,56058.81,0.0767
3/1/22,71527.23,0.2759
4/1/22,72677.4,0.0161
5/1/22,65132.96,-0.1038
6/1/22,61193.88,-0.0605
7/1/22,62421.52,0.0201
8/1/22,59616.96,-0.0449
9/1/22,60346.23,0.0122
10/1/22,59691.33,-0.0109
11/1/22,54466.98,-0.0875
12/1/22,51475.84,-0.0549
1/1/23,51671.95,0.0038
2/1/23,50595.1,-0.0208
3/1/23,49869.16,-0.0143
4/1/23,52247.24,0.0477
5/1/23,41989.83,-0.1963
6/1/23,37386.82,-0.1096
7/1/23,37698.6,0.0083
8/1/23,43772.77,0.1611
9/1/23,43846.59,0.0017
10/1/23,44509.56,0.0151
11/1/23,44613.08,0.0023
12/1/23,46960.02,0.0526
1/1/24,49566.89,0.0555
2/1/24,48435,-0.0228
3/1/24,51251.04,0.0581
4/1/24,45455.36,-0.1131
5/1/24,43539.61,-0.0421
6/1/24,45326.09,0.041
7/1/24,45100.22,-0.005
8/1/24,45807.38,0.0157
9/1/24,46488.23,0.0149
10/1/24,48182.96,0.0365
11/1/24,48457.99,0.0057
